Brand Name,Model,Device Type,Supported Releases,_
"Broadcom","NetXtreme E-Series Quad-port 25Gb Ethernet LOM RDMA Partition","Network","ESXi 9.1"," "
"Broadcom","BCM57414","Network","ESXi 9.1"," "
"Broadcom","NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","Network","ESXi 9.1"," "
"Broadcom","NetXtreme-E N425DE BCM57504 4x25G SFP28 OCP3.0 Ethernet","Network","ESXi 9.1"," "
"Broadcom","MegaRAID SAS 9480-8i8e /w JBOD Mode","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","BCM57416 NetXtreme-E 10Gb RDMA Ethernet Controller","Network","ESXi 9.1","Restricted"
"Broadcom","BCM57416","Network","ESXi 9.1"," "
"Broadcom","Ethernet NIC 10GBASE-T OCP3.0","Network","ESXi 9.1","Restricted"
"Broadcom","NetXtreme-E N2100DE BCM57508 2x100G QSFP56 OCP3.0 Ethernet","Network","ESXi 9.1"," "
"Broadcom","SAS 9400-8i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","NetXtreme BCM5717 Gigabit Ethernet","Network","ESXi 9.1"," "
"Broadcom","MegaRaid 9560-16i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","BCM57504","Network","ESXi 9.1"," "
"Broadcom","SAS3716 Fusion-MPT Tri-Mode RAID Controller Chip (ROC)","SAS","ESXi 9.1"," "
"Broadcom","Fusion-MPT 12G SAS/PCIe USAS38xx","SAS","ESXi 9.1"," "
"Broadcom","BCM57414","Network","ESXi 9.1"," "
"Broadcom","NetXtreme E-Series Single Port 100Gb OCP 3.0  Ethernet Adapter","Network","ESXi 9.1"," "
"Broadcom","NetXtreme E-Series Quad-port 25Gb Ethernet LOM","Network","ESXi 9.1"," "
"Broadcom","BCM57412","Network","ESXi 9.1"," "
"Broadcom","Megaraid 9540-2M2","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","BCM57454 NetXtreme-E RDMA Partition","Network","ESXi 9.1","Restricted"
"Broadcom","BCM57412","Network","ESXi 9.1"," "
"Broadcom","BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller","Network","ESXi 9.1","Restricted"
"Broadcom","BCM57412","Network","ESXi 9.1"," "
"Broadcom","NetXtreme-E-Series Dual-port 100Gb Ethernet PCIe RDMA Virtual Function","Network","ESXi 9.1"," "
"Broadcom","Megaraid 9660-16i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","BCM57414 NetXtreme-E Partition","Network","ESXi 9.1","Restricted"
"Broadcom","eHBA 9600-16e","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
