Brand Name,Model,Type,Feature,Supported Releases
"Hewlett Packard Enterprise","HPE Tri-Mode MR416i-a Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE SR932i-p Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Tri-Mode MR216i-a Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE MR216i-o Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE MR416i-o Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE SR932i-p Gen10 Plus Tri-mode PCIe Plug-in Controller","All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","MR408i-o Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Tri-Mode MR216i-a Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","MR216i-o Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Smart Array P408i-p SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","MR416i-o Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","SR416i-a Gen10 Plus Tri-mode Modular Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Smart Array P816i-a SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","SR932i-p Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Smart Array E208i-p SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Smart Array P408i-a SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","SR932i-p Gen10 Plus Tri-mode PCIe Plug-in Controller","All Flash
Hybrid","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Tri-Mode MR416i-a Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Tri-Mode MR216i-p Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","MR216i-p Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","MR416i-p Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
